Abbreviation,Name
AT,B Advanced Technology
TG,B Technische Geneeskunde
ATLAS,B Technology and Liberal Arts & Sciences
CRE,B Creative Technology
IBA,B International Business Administration
BIT,B Bedrijfsinformatietechnologie
BMT,B Biomedische Technologie
GZW,B Gezondheidswetenschappen
PSY,B Psychologie
OWK,B Onderwijskunde
CW,B Communicatiewetenschap
EPA,B European Public Administration
CIT,B Civiele Techniek
EE,B Electrical Engineering
IO,B Industrieel Ontwerpen
ST,B Scheikundige Technologie
TN,B Technische Natuurkunde
TI,B Technische Informatica
TW,B Technische Wiskunde
WB,B Werktuigbouwkunde
TBK,B Technische Bedrijfskunde
PA,M Public Administration
EST,M Educational Science and Technology
PSTS,"M Philosophy of Science, Technology and Society"
MBI,M Business Information Technology
CEM,M Civil Engineering and Management
NT,M Nanotechnology
IEM,M Industrial Engineering and Management
HMI,M Human Media Interaction
TEL,M Telematics
TM,M Technical Medicine
CSC,M Computer Science
EMS,M Embedded Systems
CME,M Construction Management and Engineering
AM,M Applied Mathematics
EE,M Electrical Engineering
S&C,M Systems and Control
AP,M Applied Physics
CE,M Chemical Engineering
ME,M Mechanical Engineering
SET,M Sustainable Energy Technology
BA,M Business Administration
CS,M Communication Studies
BME,M Biomedical Engineering
MPS,M Psychology
HS,M Health Sciences
IDE,M Industrial Design Engineering
SEC,M Science Education and Communication
ELAN,M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen
ES,M European Studies
